Date,Service,nbTable,nbCustomer,TotalPrice
2022-11-01,Lunch,23,4,59.44583523898987
2022-11-01,Lunch,38,21,491.2946137829277
2022-11-01,Lunch,9,9,91.90836270346003
2022-11-01,Lunch,21,20,291.3510201914089
2022-11-02,Lunch,14,6,114.97037971989204
2022-11-02,Lunch,38,16,163.6310348867801
2022-11-02,Lunch,22,19,288.78437054907374
2022-11-02,Lunch,34,4,79.29703764992459
2022-11-02,Lunch,20,13,198.55294435693813
2022-11-03,Lunch,16,16,305.3831419272142
2022-11-03,Lunch,24,5,102.63539290992803
2022-11-03,Lunch,16,22,231.24510058153297
2022-11-03,Lunch,27,20,274.20953029563145
2022-11-03,Lunch,24,5,90.8511248946241
2022-11-03,Dinner,16,5,49.39250835299749
2022-11-03,Dinner,33,10,249.05170853596516
2022-11-03,Dinner,22,22,557.3527359975775
2022-11-03,Dinner,28,24,517.7926829747163
2022-11-04,Lunch,32,4,42.81697219470152
2022-11-04,Lunch,11,10,219.94886992331945
2022-11-04,Lunch,11,11,260.3233710108557
2022-11-04,Lunch,1,8,128.8623822019031
2022-11-04,Lunch,27,25,435.868776632486
2022-11-04,Dinner,40,14,490.0
2022-11-04,Dinner,32,14,490.0
2022-11-04,Dinner,20,13,455.0
2022-11-04,Dinner,21,4,140.0
2022-11-04,Dinner,10,8,280.0
2022-11-05,Lunch,1,18,277.09448443364846
2022-11-05,Lunch,39,19,422.8510748516014
2022-11-05,Lunch,37,6,74.0017600788329
2022-11-05,Lunch,8,5,124.05265963007388
2022-11-05,Lunch,5,17,417.9092759852909
2022-11-05,Dinner,25,23,633.3777403087034
2022-11-05,Dinner,6,12,176.08454543490922
2022-11-05,Dinner,6,6,72.4232627931453
2022-11-05,Dinner,4,24,263.95902013178124
2022-11-06,Lunch,3,6,76.99555338561484
2022-11-06,Lunch,40,5,61.57697280588189
2022-11-06,Lunch,7,11,328.64028679034635
2022-11-06,Lunch,36,22,335.8609530269204
2022-11-06,Lunch,5,19,223.47948503600318
2022-11-08,Lunch,37,23,634.5435806798845
2022-11-08,Lunch,6,7,134.94065445010924
2022-11-08,Lunch,29,14,380.92070141809603
2022-11-08,Lunch,28,12,344.9933080806206
2022-11-08,Lunch,20,10,159.32198408110133
2022-11-09,Lunch,28,3,67.6051724411287
2022-11-09,Lunch,14,9,214.53291706421942
2022-11-09,Lunch,29,20,245.6255067710381
2022-11-09,Lunch,27,25,586.2003051000444
2022-11-10,Lunch,21,11,145.1563354551966
2022-11-10,Lunch,7,8,214.47552017101518
2022-11-10,Lunch,4,23,577.5951677941871
2022-11-10,Lunch,8,7,147.88623923372452
2022-11-10,Lunch,3,5,126.71604629168425
2022-11-10,Dinner,14,14,166.13416615038463
2022-11-10,Dinner,22,13,367.75269701909383
2022-11-10,Dinner,2,24,343.826641296822
2022-11-10,Dinner,9,7,89.51086671910107
2022-11-10,Dinner,25,10,207.6341863351471
2022-11-11,Lunch,30,12,295.14396346853295
2022-11-11,Lunch,27,6,109.99364996147
2022-11-11,Lunch,35,11,147.02494709910255
2022-11-11,Lunch,12,18,410.37217885768723
2022-11-11,Lunch,37,15,181.3770231392925
2022-11-11,Dinner,29,10,274.67500053888216
2022-11-11,Dinner,17,6,139.45206483398493
2022-11-11,Dinner,34,11,178.79361454663825
2022-11-11,Dinner,4,17,493.4068788210881
2022-11-11,Dinner,36,16,244.48323198504798
2022-11-11,Dinner,29,9,255.27622791558807
2022-11-12,Lunch,15,1,13.574140669750307
2022-11-12,Lunch,15,5,121.79254840087182
2022-11-12,Lunch,20,15,340.54214669475823
2022-11-12,Lunch,39,1,22.295813760935218
2022-11-12,Lunch,12,9,138.05352787558414
2022-11-12,Lunch,17,23,498.30842098501165
2022-11-12,Lunch,11,7,97.84723239747895
2022-11-12,Lunch,39,9,192.21726293169334
2022-11-12,Dinner,4,19,484.1534260919245
2022-11-12,Dinner,25,12,246.99667370830662
2022-11-12,Dinner,19,1,18.935833854767978
2022-11-12,Dinner,14,1,15.142348796242263
2022-11-12,Dinner,33,7,157.2511253067384
2022-11-12,Dinner,15,2,54.68675443798726
2022-11-12,Dinner,31,15,258.96951892050276
2022-11-13,Lunch,29,5,93.65574890926042
2022-11-13,Lunch,11,19,531.0295762467514
2022-11-13,Lunch,38,8,102.27615082839321
2022-11-13,Lunch,6,18,510.6600047508309
2022-11-13,Lunch,28,15,390.10380094916724
2022-11-15,Lunch,8,5,126.68377216688093
2022-11-15,Lunch,14,7,184.79489142837227
2022-11-15,Lunch,17,18,528.3040560130315
2022-11-15,Lunch,33,1,12.025700907969247
2022-11-15,Lunch,8,8,218.95525032286113
